RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
394919,"Norfolk, NE",390,82600,80200,85700,86600,87600,87600,83900,90100,89900,91100,78200,79900,87100,92700,89600,87600,89600,94100,91100,98800,93e3,93300,79800,79300,77800,89300,100600,99600,86500,79800,74800,79500,87600,95500,96100,87300,88800,97900,93500,89700,91600,97400,98100,96400,94500,102900,96800,112700,119400,123500,105400,103300,108800,117100,109800,114400,114e3,108700,93200,93200,96100,105900,102300,106400,107100,118400,117800,112300,109200,99100,102500,96200,104400,102e3,108300,110300,115400,110800,116400,113300,116200,117100,126700,131100,121500,109700,109e3,118400,126500,122900,115700,115600,113400,122e3,124700,132700,138200,137800,131500,125900,124700,130600,136e3,140600,143200,135900,131800,126800,137e3,144200,151e3,139500,129600,127300,128600,145300,145600,149200,136100,140800,164800,169700,175900,147200,148900,143600,147900,146300,143800,142e3,
394616,"Freeport, IL",391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73900,82100,81500,81500,76e3,77600,63200,62e3,58600,74200,73800,76500,77400,76800,78200,81100,92e3,99100,101e3,98200,90100,85500,75600,73700,73800,72e3,69200,69700,75900,80500,80200,71400,70200,68700,80500,81100,91800,93100,92200,92e3,86700,107900,108800,104700,92800,84400,89300,81100,83200,83700,84300,85e3,85e3,
394918,"Nogales, AZ",392,209e3,170900,156600,131200,134400,151800,157e3,157e3,149300,154900,163400,161100,139e3,128e3,118700,111800,118400,131500,138e3,129e3,121700,123900,117e3,111400,104200,106e3,107700,110300,105300,102500,102600,98200,101300,97800,101400,102300,98500,97400,87100,88900,94400,91500,86200,75400,82300,85700,91400,90100,89100,84100,86700,83400,86e3,92500,97100,101700,88400,95e3,93400,101400,102900,103400,106500,101600,98300,103800,109300,120400,116300,121400,117700,113800,99900,99700,101300,108200,112100,112600,115e3,108500,109700,107800,115900,121200,123500,12e4,121100,124400,121300,117900,113500,117e3,117200,120900,125900,128700,132100,134800,136400,129700,134200,133600,139800,145800,147600,137300,126800,129200,133800,141e3,138400,148900,142900,145700,140400,142400,145800,147200,156700,151100,153100,141300,141600,137200,137e3,144600,153800,159900,162100,177200,
394987,"Plymouth, IN",393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116300,120900,126300,136400,133200,138e3,137400,137200,126400,113900,112300,122400,137700,14e4,129200,131600,125700,129900,126500,130500,134700,132900,132600,131600,131300,135400,136e3,139400,132100,135500,131300,139800,136200,135500,127600,126e3,130600,146500,
394817,"Madisonville, KY",394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88700,88700,84400,82300,81700,85200,94500,100800,114900,107e3,104800,99400,97500,101600,99200,98100,102e3,99400,98200,87800,84900,105800,118300,109400,101100,90700,108800,104200,100400,100700,103200,111900,98900,89300,84100,95100,98100,106e3,105400,105900,104e3,104100,93800,86100,88800,101e3,103400,84e3,81500,87100,96e3,99800,101500,111600,113200,118600,115100,121e3,
394437,"Cañon City, CO",395,130800,126300,123e3,128200,131800,132900,134800,133600,136500,127700,125400,119e3,122200,123500,130400,127900,122800,124300,125500,137500,141100,155400,143700,134900,127500,134e3,124800,128400,123200,133800,128800,132900,140900,138100,128e3,127300,130900,135400,125600,116700,114800,118400,127300,136800,137800,137e3,124e3,114800,114e3,119700,130800,125200,122e3,116800,106800,111700,116600,130100,132900,134e3,126300,127100,124100,124400,123500,122600,121300,121600,122400,134800,124800,130900,134800,138300,138100,135e3,142200,143e3,147e3,150900,145100,139800,129900,132200,133400,146200,148900,147200,146800,146200,149400,146600,151300,153800,157300,156700,151200,150500,148800,157700,162e3,166500,164300,163200,166400,167900,167900,161200,161800,161200,172900,173500,176700,171200,169200,174600,174700,175300,171200,177200,185600,187200,187300,184e3,188500,201600,207800,209e3,198900,194700,
395043,"Ruston, LA",396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215800,166900,161600,155400,183200,185800,201e3,186600,187800,194500,185200,177100,178900,189100,199600,196700,191700,202400,200200,190700,189500,197800,224900,201500,187700,171500,183700,183800,183200,193300,209800,205400,204600,178800,
753889,"Hillsdale, MI",397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,69200,71600,77600,74200,72300,69900,68700,68900,62400,68e3,71600,77500,73500,72400,70300,75500,79600,76800,78100,75500,84700,82500,79700,81300,84200,80500,74900,71900,76200,79300,82500,88700,84e3,81400,77300,79500,78400,85200,90200,88800,84100,91800,99400,107600,104300,99200,99300,95500,101200,93800,92700,94200,98e3,101e3,91500,83900,86900,94200,101e3,96800,1e5,105800,115500,113e3,110700,100400,115500,127600,130200,121e3,104300,102200,96800,101300,113e3,120700,116800,114400,
395034,"Rockingham, NC",398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55500,55400,63200,55800,57700,56800,73500,72300,73400,58800,65600,63700,68600,68300,66e3,77900,69400,74500,56e3,53e3,47e3,50300,57200,59500,67100,65600,75e3,70600,78600,74400,69e3,64700,64800,79400,71300,75500,64700,70900,61200,65300,63300,69700,79400,84e3,78700,73500,75800,84400,70200,62700,56400,66400,69700,63800,60800,63200,78600,76500,67900,60600,65500,63700,67800,69700,74700,66100,65100,70600,83e3,83400,93500,
395017,"Red Wing, MN",399,159600,147100,142800,143300,154700,160100,15e4,143600,147300,166600,170300,167700,158600,156e3,147300,142700,148300,159100,163300,165400,161200,170400,153100,147500,137400,141200,131900,129900,124600,115800,118400,135700,142300,139100,126400,136e3,130100,130300,127e3,139100,139e3,140100,132700,137100,139e3,138500,127200,115600,100400,98700,108200,129e3,132500,133100,131300,136200,138200,142800,143800,145700,144800,135e3,142400,143300,155700,152800,148e3,162900,158600,159400,150400,194200,194e3,177200,130800,130300,143900,149200,147700,146e3,134700,140300,134500,163700,166300,177800,159800,160500,159100,156600,155500,153600,156800,156400,161700,165700,162400,160100,156500,159900,158700,160700,167500,166200,168200,166300,169e3,170400,166800,163700,175800,175e3,179600,169700,174700,183500,189300,185e3,180700,178100,180800,184200,186700,196300,200400,210800,205700,207700,205600,205100,
