RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
11179,Durango,Colorado,1298,398800,386600,363100,374900,378100,355900,335e3,325100,347e3,319500,312200,320300,355600,369700,359500,346400,339800,344e3,359600,361600,372800,360600,372600,357600,343800,342200,341900,351500,332200,337200,347e3,356100,344700,344700,337300,344800,328900,331900,328400,344800,343400,345700,349300,344100,345400,314700,305200,308800,307800,321500,305200,329800,327100,338500,358900,357900,352400,335200,351400,348800,338800,349600,354500,361900,343300,337500,331400,327300,334100,348300,346900,353800,366100,373e3,382300,384400,382800,369500,365100,362900,374300,375300,395400,408700,399800,384700,364e3,367400,376200,380700,377e3,385300,358300,341900,324200,342300,359800,389600,39e4,392600,374800,394500,400700,412800,417800,412200,406300,391700,399700,394800,396800,384400,395100,395e3,435700,425100,415700,389e3,386400,417700,400900,429300,414300,426700,412600,422900,434500,424e3,419100,410600,
24464,Eagle,Idaho,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277200,268900,301900,306300,314800,308500,305500,318500,315600,323e3,298900,281700,257400,245900,271800,291300,306600,306500,318300,332300,333300,328300,311400,308800,308e3,308800,318800,324700,331800,317600,318200,330100,347400,358800,367800,384100,392500,395900,382700,373500,366800,379600,377800,367900,364300,365900,376500,373e3,376900,382900,384400,391700,391400,397200,397800,399500,409900,404900,397100,395900,417800,436600,446400,475600,471900,458700,406500,411100,448100,503e3,
31537,Farmingdale,New York,1300,396600,391100,391800,391100,398700,382400,379900,381900,393e3,370600,372500,361100,376100,359700,375500,365600,37e4,349800,354100,351800,384400,376500,366400,343300,346300,348300,345300,352900,353800,335500,328500,337400,367300,362500,360100,329300,324600,319800,350400,351900,349400,316800,321900,335e3,377400,370800,340900,322400,319e3,334800,334800,340700,347900,331800,321900,315100,317500,343900,352e3,344700,339200,323300,331800,322500,329900,333300,335800,341400,346800,347100,343800,342300,349100,395100,394400,385900,350400,355800,355500,361800,350600,352800,341100,351100,352200,349700,346300,356900,362300,366800,359600,358700,365900,369800,338400,335700,339800,382300,383200,375700,368200,356500,371800,381900,400100,397800,401600,407800,406700,41e4,418200,426200,424100,415400,418400,419400,424300,432700,435300,424500,428300,443500,456400,434500,426100,419600,428900,439400,445300,446e3,
46666,Myrtle Beach,South Carolina,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105200,97900,102200,104300,11e4,112500,113700,113700,111900,112300,109600,109200,109400,113400,11e4,113200,110900,112e3,107500,102700,109500,109400,114900,116900,121400,127500,125800,126600,119100,119e3,117900,120200,120900,123800,123800,131400,128800,132400,129700,132100,129300,124800,126600,131e3,137300,131100,136700,
43697,Fair Lawn,New Jersey,1302,414900,403e3,378300,391600,392800,377800,375100,372700,389300,393900,385900,391700,370200,375200,349600,350900,349200,350700,351900,356600,355100,351900,360800,346700,338200,314600,330400,355800,371200,364500,349300,336100,335700,339500,365e3,375700,355500,354400,347400,365700,346200,322100,306200,293900,317900,336500,332200,315400,295100,326500,331500,337100,327300,335300,345600,337800,336600,334500,332600,330100,321100,320300,314800,319e3,331200,338500,348600,344300,323500,319300,323800,353400,362900,360800,362600,366400,365200,362300,353400,358900,356200,353500,349600,369200,349100,364700,336900,361700,346900,358600,356600,371200,384700,394200,389200,381600,387e3,389100,398200,391200,385100,382900,392600,391800,391500,394700,393700,383800,354600,356700,371700,402300,413700,410800,406300,396800,388900,393900,392600,401900,378500,404900,414100,454100,475200,474400,477900,450600,455300,434400,
41014,Spotsylvania,Virginia,1303,261800,252300,212500,221500,224e3,226e3,208500,194e3,202600,205400,209900,208500,203900,189100,169200,161400,160800,157400,166700,185400,191500,197100,198e3,210900,210300,206700,189600,168400,151700,163900,180200,178700,169e3,156e3,164700,154200,163e3,155e3,156600,147700,160200,179700,182300,178500,162400,167500,151700,180200,185400,203600,179500,162100,156900,152600,186200,186700,198600,184300,214300,228300,223800,191900,171600,171100,178300,199e3,203500,206500,188900,186600,195900,213700,224700,220200,208700,213100,217900,218200,217200,22e4,221900,219500,216500,217800,210500,212700,216400,222200,211e3,207200,193500,200100,203900,223200,226300,220900,212e3,213100,207600,209700,208400,211600,215800,217600,222800,229900,230500,267900,269e3,277300,245e3,243600,249600,258400,249100,243100,235500,241300,250500,272e3,274300,261900,242400,238500,234e3,237200,240900,244500,245900,240700,
395669,Derry,New Hampshire,1304,224100,199200,188500,174800,174600,183700,181800,192800,183500,193400,186600,177500,158200,145200,150100,163900,179100,183100,173600,175800,167300,165200,150300,150700,156900,163300,161900,161600,157500,159200,162300,162200,169700,158600,182600,170100,174900,145800,157400,153800,156200,155600,153e3,159600,143400,145e3,147600,171600,184600,185400,191500,192600,193600,193800,180200,183600,170100,183700,189500,187800,184800,155900,158100,162700,188400,203e3,192100,185400,174e3,177700,188100,197200,200700,200100,192400,192900,188400,194900,193300,204600,210700,219900,212900,209800,215900,217800,226900,220400,226500,222e3,225200,225400,224100,216700,207900,209800,213700,221600,222e3,213400,215600,217e3,243700,245200,230100,224100,225900,246200,237e3,214300,219800,225800,247400,227100,226300,222900,235800,234200,235200,247400,252800,258300,252800,254300,261600,259e3,251700,255300,258300,271400,
11278,El Mirage,Arizona,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137400,138300,138800,138400,14e4,14e4,143200,143600,146900,147900,15e4,151200,152900,153800,154600,153500,154e3,157600,161200,164100,163300,164700,165600,167300,167500,169700,171600,174200,175900,176900,178100,178200,180400,183200,185300,186300,189400,188700,191200,189300,190400,191300,192500,195100,194e3
19716,Oakdale,California,1306,334100,332400,328500,310200,287e3,248e3,241300,23e4,221600,214500,219e3,236800,240400,240200,219200,219500,208900,217e3,206200,215800,203500,191900,195300,207e3,220500,216400,228700,220800,207100,187700,200300,194e3,191300,171900,189100,194800,202600,186900,182400,195800,190600,183800,175400,191700,201200,186800,177400,174200,172700,191e3,188800,2e5,203e3,220300,215800,192900,191700,209600,226900,214100,222100,223800,236400,229700,238400,248900,242900,247500,245700,258700,273600,294600,29e4,273100,258100,264100,267800,264400,276300,276100,286e3,281900,283e3,378700,380500,381e3,277600,267100,266500,274900,282900,284800,289400,283e3,284400,281200,291e3,311800,324400,332100,316100,289100,289100,294500,318500,318900,335400,342e3,346100,335700,343700,352400,348900,341700,333100,324500,319700,325400,359300,378400,376900,377300,383900,387400,366500,339800,,,,,
50849,Banning,California,1307,,,,,,,,,,,,,,,,,,,,,,,,,114500,126100,130800,135900,126800,122600,112600,123800,119800,128e3,116900,106800,110700,122700,133200,12e4,119200,114900,119300,117300,116400,120500,119e3,119900,120700,126100,128100,127300,118600,118800,122400,129800,140800,142500,145300,137200,140300,141300,152900,154100,156400,158200,165600,169800,169400,162800,158900,153700,159600,160300,168200,168400,177300,180900,181100,180100,175700,173500,177e3,182700,188100,188200,190600,190800,195400,197100,203e3,201100,201700,205200,216200,222500,220500,220700,219600,224100,215700,216400,216200,221600,227100,231100,232500,233e3,231100,236e3,231e3,233600,232800,233800,226700,229e3,239900,254900,256600,257300,255900,259700,256e3,258800,255600,258e3,253300,255500,265200,266300,
