"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
9,"California",1,155200,154900,154600,154300,154000,153800,153700,153800,154000,154300,154600,154600,154700,154900,155100,155400,155800,156400,157100,158100,159400,161000,162400,163700,164800,165800,166700,167500,168300,169000,169800,170700,171800,173000,174200,175300,176400,177600,178900,180200,181700,183300,185200,187200,189400,191900,194300,196500,198800,201100,203400,205700,208000,210300,212500,214800,217200,219700,222200,224600,226900,229300,231600,233900,236200,238500,240800,243300,246000,248800,251600,254600,257600,260800,264300,268000,271900,276000,280200,284500,288800,292900,296900,301200,305600,310300,315200,320600,326100,331800,337700,343800,350200,357000,364200,372100,380700,389800,399200,408400,417000,425100,432500,439400,446100,452500,458700,465000,471300,477300,483000,488400,493100,497400,501400,504900,507900,510600,513000,515500,517600,519200,519900,519500,517800,515400,512900,510200,507600,505300,502700,499600,496200,492400,488100,483000,477000,470500,463900,456700,449200,441200,432400,422700,412000,401200,390800,382000,374900,368900,363100,357400,351900,346900,341800,336100,330000,323700,318300,315000,313400,312600,312500,312700,313200,313900,314200,313700,313700,314700,315200,314400,313200,311500,309700,308000,305800,303200,301100,299600,297900,296100,294300,292300,290500,288500,286600,285400,284700,284100,284100,285200,287000,289100,291100,293200,295200,297900,301300,305000,308900,312500,316900,322800,329500,336200,343500,350400,356000,360600,364200,366900,369600,372300,375000,377800,380600,383200,385600,387900,389700,391200,393200,395100,396900,399500,402600,405400,408100,411000,414000,416900,419400,421800,423900,426200,429000,431700,433700,435600,437600,439700,441500,443800,446600,449700,452700,455800,459100,462300,464800,467400,470300,473800,477000,479900,482800,486200,489300,492000,495000,499500,504400,507500,509200,510900,512800,514600,515900,516900,518300,519700,520400,520800
54,"Texas",2,86800,86800,86900,87000,87200,87300,87400,87400,87400,87400,87400,87300,87200,87300,87300,87500,87600,87800,87900,88200,88500,88800,89200,89500,89700,90000,90100,90300,90400,90500,90700,90900,91300,91800,92400,92900,93500,94100,94800,95700,96700,98000,99400,100800,101800,102600,103200,103500,103700,103600,103500,103200,102800,102100,101300,100600,100000,99500,99100,98800,98700,98700,98800,98800,98900,99000,99000,99100,99300,99400,99600,99900,100300,100700,101200,101800,102400,103100,103800,104500,105000,105500,105900,106300,106600,107000,107300,107600,107800,108000,108300,108600,109100,109800,110700,111700,112500,113200,113700,114200,114600,115000,115500,116100,116700,117300,117900,118300,118600,118800,118900,118900,118900,118900,118900,119000,119100,119300,119700,120000,120500,121000,121700,122300,123000,123600,124200,124700,125100,125500,125700,126000,126500,127000,127500,127900,128400,128800,129000,129200,129000,128500,127800,127000,126200,125400,124600,123900,123400,123000,122600,122200,121900,121600,121300,121000,120600,120100,119600,119400,119200,119100,119100,119200,119300,119500,119700,119600,119300,119100,119000,118900,118600,118300,118000,117400,116900,116600,116200,115900,115700,115700,115300,114900,114500,114200,114100,113800,113500,113100,113000,113200,113400,113500,113500,113700,114000,114000,113700,113900,114400,114700,114900,115200,115500,116100,116800,117300,117900,118600,119000,119400,119900,120300,120900,121400,121900,122600,123400,124100,124500,125000,125600,126300,127000,127700,128400,129400,130400,131200,131900,132700,133400,134100,135000,135600,136200,137000,138000,138900,139900,141300,142800,144200,145400,146500,147600,148800,149900,150800,151800,153100,154400,155700,156900,158100,159400,160900,162400,163700,164900,166400,168200,169700,171000,172200,173100,174100,175200,176100,177300,178800,180500,182000
43,"New York",3,85800,85600,85400,85200,85000,84900,84700,84600,84500,84500,84500,84400,84300,84200,84000,83900,83900,83900,84000,84200,84400,84600,84800,85000,85100,85200,85300,85400,85500,85600,85700,85900,86100,86300,86500,86700,87000,87300,87700,88100,88500,88800,89000,89200,89500,89800,90000,90400,90700,90900,91100,91200,91300,91400,91600,91800,92000,92400,92700,93100,93500,94000,94500,94900,95400,95800,96300,96700,97200,97800,98400,99100,99700,100500,101200,101900,102600,103300,104000,104700,105500,106200,106900,107600,108400,109200,110000,110900,111900,112800,113800,114600,115400,116100,116800,117600,118400,119100,119900,120800,121600,122500,123500,124500,125500,126600,127600,128500,129300,130000,130700,131200,131800,132400,133000,133700,134200,134700,135100,135600,136100,136600,137000,137500,138000,138400,138900,139300,139700,140000,140400,140700,141000,141400,141800,142100,142400,142600,142700,142700,142700,142700,142700,142600,142400,142200,142100,141900,141600,141200,140800,140500,140200,140000,139900,139700,139600,139300,139100,138900,138900,139000,139100,139300,139500,139700,139900,140000,140000,140200,140500,140400,140000,139700,139400,139100,138900,138800,138400,138100,137900,137400,136900,136700,136500,136400,136300,136300,136200,136000,135700,135600,135600,135700,135700,135600,135700,135900,136000,136100,136200,136500,136700,137100,137500,137900,138200,138700,139300,139800,140100,140200,140300,140500,141000,141400,141700,141600,141700,141900,142000,141800,141700,141900,142000,142200,142300,142300,142500,143100,143400,143500,143700,144200,144600,144900,145100,145300,145600,146000,146400,146900,147600,148200,148600,149000,149700,150300,150900,151400,152000,152900,153600,154000,154400,155100,156000,157000,158000,158800,159400,160200,160800,161000,161100,161800,162700,163600,164200,164500,164500,164700,165200,165600
14,"Florida",4,86100,86100,86200,86200,86200,86300,86500,86800,87200,87600,87900,88200,88400,88500,88700,88900,89100,89300,89600,89900,90200,90700,91000,91300,91500,91700,91900,92200,92700,93200,93700,94200,94700,95200,95600,96000,96400,96900,97500,98100,98700,99400,100000,100600,101200,101700,102200,102700,103300,103800,104500,105300,106100,106900,107800,108800,109900,110900,112000,113000,113900,115000,115900,116900,117800,118700,119600,120500,121400,122300,123300,124100,125000,125900,126800,127700,128700,129800,131000,132100,133300,134500,135700,136900,138300,139600,141000,142400,143900,145400,147000,148600,150300,152200,154100,156300,158700,161200,164000,167000,170100,173300,176600,179900,183600,187400,191400,195800,200600,205600,210800,216300,221600,226600,231400,235900,240100,244100,247600,251000,254200,256800,258600,259600,259800,259400,258500,257300,255900,254400,252700,250900,248900,246600,243800,240700,237200,233600,230000,226300,222500,218700,214700,210700,206800,202800,198700,194700,190600,186600,182700,178800,175000,171300,167500,163700,159900,155900,152100,149300,147400,145900,144800,144000,143600,143500,143700,142800,141100,139900,139300,138200,136700,135200,134000,132700,131300,129800,128200,127100,126800,126400,125700,125200,124900,124600,124300,124200,124100,124100,124200,124700,125200,125800,126100,126300,126700,127200,127500,128000,128800,129500,130400,131500,132800,134300,136000,137700,139400,140800,142000,143400,144600,145500,146500,147900,149300,150500,151600,153000,154300,155300,156100,156900,157800,158900,160000,161200,162400,163800,165300,166600,167800,169200,170700,172100,173500,175100,176500,178100,179800,181500,183200,185000,186700,188700,191000,193400,195700,197700,199400,201000,202900,204700,206400,207900,209500,211100,212600,214000,215400,217300,219600,221600,223000,224700,226400,227800,228900,229900,230900,232100,233300,234300
21,"Illinois",5,123800,124400,124800,124900,124800,124300,123700,122800,122000,121300,120500,119500,118600,117800,117000,116000,115000,114100,113600,113600,114300,115400,116700,117900,119300,120600,121900,123300,124700,126100,127400,128400,129300,130100,130300,130200,130100,130100,130100,130200,130500,130900,131500,132200,133200,134400,135500,136400,137300,138100,139000,139900,140700,141500,142300,143000,143700,144500,145200,145800,146400,147100,147900,148800,149800,150700,151600,152500,153400,154300,155300,156200,157200,158200,159100,160100,161100,162000,162900,163900,164900,165800,166600,167600,168600,169600,170600,171600,172600,173800,174900,176000,177200,178500,179700,181100,182500,183900,185300,186600,188000,189400,190900,192400,193800,195100,196300,197400,198700,200100,201800,203700,205800,207900,210000,211900,213600,215100,216400,217800,219200,220300,221200,221900,222400,222800,223200,223500,223800,224100,224300,224400,224500,224300,223900,223300,222800,222200,221500,220500,219300,217800,216000,214300,212600,210700,208500,206200,203600,201300,199100,197000,194800,192700,190500,188200,185700,182900,180000,177400,175100,173100,171600,170300,169600,169400,169700,168600,166400,165100,164800,163700,162300,160800,159000,157300,155700,154500,153700,152700,151300,149900,148400,147400,146800,146100,145000,143900,143100,141900,140400,139700,139800,139700,139500,139400,139400,139500,139800,140200,140500,140500,140600,141200,142400,143500,144800,146200,147100,147600,148100,148400,148700,149100,149200,149700,150400,151400,152300,153200,154100,154800,155400,155800,156100,156300,156700,157500,158500,159200,159600,159900,160100,160400,160900,161500,162100,162400,163000,163700,164400,164900,165400,165900,166700,167600,168300,169000,169600,170100,170600,171400,172400,173400,174100,174700,175600,176600,177400,178300,178900,180000,181600,182500,182800,183600,184200,184700,185200,185900,187000,188400,189500,190300
47,"Pennsylvania",6,82700,82600,82500,82400,82300,82300,82300,82400,82600,82900,83100,83200,83400,83600,83800,83900,84000,84200,84300,84600,84900,85300,85600,86000,86300,86500,86800,87000,87300,87600,87900,88200,88400,88700,88800,89000,89100,89200,89300,89500,89700,89900,90200,90500,90800,91100,91400,91700,92000,92300,92500,92700,92900,93200,93500,93800,94300,94800,95300,95800,96400,96900,97600,98300,99100,99800,100400,101100,101700,102400,103000,103600,104100,104600,105200,105700,106400,107100,107900,108800,109700,110700,111600,112600,113600,114600,115700,116800,117700,118600,119500,120200,121000,121900,122800,123700,124800,125800,126900,128000,129000,130200,131300,132400,133300,134200,135000,135900,136900,138000,139100,140400,141600,142800,143900,145100,146100,147100,148000,148900,149800,150600,151500,152200,152900,153500,153900,154200,154600,155000,155400,155700,156000,156200,156400,156500,156500,156400,156400,156300,156100,155800,155600,155400,155000,154600,154000,153400,152900,152500,152100,151800,151500,151200,151000,150800,150400,149900,149500,149300,149200,149100,149100,149000,149100,149200,149300,149300,149200,149200,149300,149000,148300,147400,146600,146000,145400,144700,143900,143300,142800,142100,141300,140400,139700,139300,138900,138600,138300,138000,137700,137600,137500,137200,137100,137000,137200,137600,137900,138100,138200,138400,138400,138400,138700,139000,139000,139300,139600,139700,139700,139700,139800,140000,140300,140600,141000,141400,141700,142000,142300,142400,142400,142700,143100,143400,143600,143700,143900,144200,144600,145000,145400,145800,146000,146000,146300,146800,147300,147700,148000,148300,149100,149800,150200,150800,151600,152400,152800,153200,153700,154500,155400,156300,157000,157900,159000,160100,161000,161900,162700,163300,164300,165500,166400,167300,168200,168900,169500,170100,170700,171400,172200,172800
44,"Ohio",7,83500,83800,84000,84300,84700,85100,85400,85800,86000,86300,86500,86800,87000,87200,87500,87800,88100,88300,88600,88900,89200,89600,90000,90400,90800,91100,91400,91700,92100,92500,93000,93400,93900,94300,94700,95000,95300,95600,96000,96300,96700,97100,97500,97900,98400,98900,99400,99900,100400,100900,101300,101700,102100,102500,102900,103300,103800,104300,104700,105100,105500,106000,106400,106800,107200,107500,107900,108300,108600,109000,109400,109700,110100,110400,110700,111100,111500,111800,112200,112600,113100,113500,113900,114400,114800,115300,115700,116200,116500,116900,117200,117500,117800,118100,118400,118800,119100,119400,119700,120000,120300,120600,120900,121200,121500,121900,122100,122200,122400,122700,122900,123300,123600,123800,124000,124200,124300,124400,124500,124600,124700,124700,124700,124600,124500,124400,124300,124200,124000,123900,123800,123700,123500,123200,122800,122400,122000,121600,121100,120600,120000,119400,118800,118200,117600,117000,116300,115600,115100,114600,114200,113800,113300,113000,112600,112300,111800,111300,110800,110300,110000,109700,109500,109300,109200,109200,109300,109100,108900,109000,109300,109200,109000,108500,107900,107300,106800,106100,105200,104600,104000,103400,103000,102700,102400,102200,101800,101600,101700,101600,101400,101500,101800,101600,101400,101300,101300,101200,101400,101500,101700,102000,102400,102700,102700,103000,103300,103600,104000,104300,104600,104800,104900,105200,105600,105900,106200,106800,107300,107800,108000,108200,108600,109100,109300,109500,109800,110200,110700,111000,111200,111500,111900,112300,112700,113000,113300,113700,114100,114500,114800,115400,116100,116700,117200,117700,118200,118800,119300,119800,120400,121500,122500,123300,124000,124600,125200,125800,126400,127000,127500,127900,128400,129000,129900,130700,131200,131900,132600,133600,134700,135600,136500,137400
30,"Michigan",8,97000,97500,98200,98800,99500,100100,100900,101600,102400,103300,104200,105000,105900,106800,107600,108500,109400,110400,111300,112200,113200,114300,115400,116500,117500,118300,119000,119700,120300,120700,121200,121600,122100,122700,123400,124000,124800,125600,126400,127300,128200,129000,129900,130700,131500,132400,133300,134000,134800,135600,136400,137200,137900,138500,139200,139800,140300,140800,141300,141700,142200,142500,142900,143100,143400,143700,144100,144500,144900,145300,145900,146400,146900,147300,147800,148200,148600,149100,149700,150200,150800,151100,151300,151500,151700,152000,152400,152800,153200,153700,154200,154700,155200,155700,156200,156700,157200,157700,158200,158700,159300,159800,160400,160800,161300,161800,162300,162700,163200,163500,163800,164000,164100,164200,164200,164200,164100,164100,164000,163900,163800,163700,163400,163000,162600,162100,161500,160800,160100,159400,158700,157900,157200,156300,155200,154100,153000,151900,150600,149300,147900,146400,144800,143300,141700,140100,138300,136700,134900,133200,131500,129900,128200,126700,125200,123700,122100,120400,118700,117200,115900,114700,113800,113100,112800,112700,112900,112700,112100,111700,111800,111600,111400,110900,110500,110100,109400,108500,107700,106900,106300,105800,105200,104600,104200,104100,104200,104100,104200,104400,104800,105400,106100,107100,108100,109000,109800,110800,111800,112800,113800,114700,115400,116400,117700,119100,120300,121600,123100,124500,125600,126600,127500,128500,129500,130400,131300,132100,133000,134200,135200,136200,137000,137800,138500,139400,140200,140800,141500,142100,142800,143300,144000,144700,145300,146000,146800,147600,148500,149500,150500,151400,152500,154000,155100,155800,156600,157600,158700,159800,160800,162200,163700,165000,166100,166900,167400,168000,168900,169600,170200,171000,172200,173100,174100,175400,176700,177800,179000,179800,180700,181700,182600,183500
16,"Georgia",9,85300,85700,86100,86500,86900,87300,87600,87900,88300,88700,89000,89300,89600,90000,90400,90900,91400,91800,92300,92700,93100,93500,93900,94200,94500,94900,95400,95900,96400,97000,97600,98200,98800,99500,100100,100600,101200,101800,102600,103300,104100,104800,105600,106300,107100,107900,108600,109400,110200,111100,112000,112900,113800,114600,115500,116300,117200,118100,118800,119500,120200,120800,121500,122000,122600,123100,123600,124100,124600,125100,125600,126100,126600,127100,127500,127900,128300,128600,128900,129300,129600,129900,130300,130600,130900,131100,131400,131700,132000,132200,132500,132900,133500,134200,135100,135900,136500,136800,137000,137200,137600,138100,138600,139000,139300,139500,139600,139900,140300,140800,141400,142000,142500,143200,143800,144400,144900,145500,145900,146400,147000,147600,148000,148500,149000,149300,149700,150100,150400,150700,150800,151000,151300,151500,151600,151500,151400,151200,150900,150400,149700,149000,148000,147100,146300,145400,144300,143100,141800,140600,139300,138100,136900,135700,134400,133100,131800,130400,128900,127700,126600,125600,124800,124000,123400,123200,123300,122300,120500,119200,118600,118000,117300,116300,115100,114000,112900,111600,110200,109300,108300,107100,105900,104500,102900,101100,99800,98500,97100,95700,94800,94300,93900,93700,93500,93400,93500,93800,94200,94700,95500,96400,97200,98000,99100,100200,101300,102400,103700,105200,106500,107800,109100,110300,111200,112300,113600,114900,115900,117000,118000,118700,119400,120200,120900,121500,122100,122600,123500,124600,125400,126100,126700,127100,127400,127900,128600,129100,129700,130900,132100,133100,134200,135400,136400,137500,138400,139200,140000,140900,141800,142900,144000,144900,145700,146500,147700,148800,149800,150900,151800,153300,155300,157000,158000,159100,160500,161600,162500,164000,166500,168700,170300,171400
36,"North Carolina",10,85100,85000,85000,85100,85400,85800,86300,87000,87600,88300,89100,89800,90400,91000,91500,92000,92400,92700,92900,93000,92800,92500,92300,92200,92300,92700,93400,94300,95300,96200,97100,97900,98600,99100,99500,99900,100500,101100,101800,102500,103200,103800,104400,104900,105400,105900,106300,106800,107200,107700,108100,108600,109100,109600,110100,110400,110800,111300,111600,111900,112200,112400,112600,112700,112900,113000,113300,113500,113800,114100,114400,114700,115000,115200,115400,115500,115800,116100,116400,116900,117400,117700,118000,118300,118600,119000,119500,120000,120400,120800,121200,121700,122200,123000,123900,124800,125700,126400,127000,127600,128000,128500,128900,129200,129400,129600,129700,129800,130100,130600,131200,131800,132400,133100,133900,134600,135400,136200,136900,137600,138400,139100,139900,140700,141400,142100,142600,143100,143700,144200,144700,145300,145800,146100,146400,146600,146800,147000,147100,147100,147100,147000,146900,146800,146700,146400,145800,145200,144600,144000,143500,143000,142600,142300,142000,141700,141300,140700,140100,139500,139000,138500,138100,137800,137800,137800,137900,137700,137200,136800,136700,136400,135900,135400,135100,134500,133700,133200,132500,131800,131100,130600,130100,129600,129300,129200,128900,128600,128400,128300,128000,127900,128000,128100,128200,128500,128500,128300,128400,128500,128300,128100,128300,128700,129100,129700,130200,130400,130800,131400,131800,132100,132500,132900,132900,133100,133500,133700,133700,133800,134100,134300,134200,134400,134900,135200,135500,136100,136500,136700,137200,137800,138300,138600,138900,139200,139600,140100,140700,141500,142300,142900,143600,144500,145200,146000,146800,147600,148200,149100,150000,150900,151900,153000,153900,154600,155300,155800,156300,157100,158100,159300,160600,161800,162700,163500,164000,164800,166000,167500,168900,170400,171600,172400
40,"New Jersey",11,148400,148200,147900,147700,147600,147500,147600,147900,148400,149100,149600,150000,150400,150800,151100,151300,151600,151900,152300,152800,153500,154100,154600,155000,155300,155600,156000,156300,156600,157100,157800,158600,159700,160900,162100,163200,164400,165500,166600,167500,168400,169400,170300,171400,172600,174100,175600,177200,179000,180800,182900,185000,187300,189600,191900,194300,196700,199200,201800,204300,206900,209500,212200,214900,217500,220200,222800,225400,228000,230600,233100,235500,238000,240600,243300,246400,249600,253100,256700,260500,264300,267900,271400,274800,278200,281700,285300,289000,292500,295900,299000,302000,305100,308400,312000,315900,319800,323900,328100,332300,336400,340500,344800,349000,353300,357500,361400,365200,369100,372700,376200,379700,383100,386500,389800,392900,396000,398900,401500,403900,406200,408100,409400,409900,409600,408500,406700,404200,401500,398900,396600,394600,392800,390900,389200,387600,386300,385200,384300,383200,382300,381400,380200,378500,376200,373100,369600,366100,363000,360500,358200,356100,354400,353000,351500,349500,346700,343200,339600,336400,333700,331600,330100,329100,328900,329400,330400,330700,330000,328900,328400,328600,328200,327000,326300,326100,323600,319500,314900,311300,309100,308900,309000,308400,307500,307000,306200,303500,300700,298400,297400,297700,299200,300600,301200,300900,300400,300100,299600,299700,300900,302300,303500,303700,303700,304900,306900,309200,311300,312500,313500,315600,317500,318900,319600,320700,322200,323100,323100,323400,323500,323500,323800,324500,325400,326300,327500,328500,328400,327700,327300,327300,327600,327900,328200,328800,329400,330600,332200,333600,334300,333900,334000,335000,336900,339200,340800,341300,341900,342300,342500,343700,346600,349500,351200,352100,353600,355500,357200,358400,360500,363100,364700,365100,366400,368500,370500,372400,374600,376200,377500,379100,380800,382400
